herb_id,herb_name_en,botanical_name,image_url,page_url
HERB-0001,Ginger,Zingiber officinale,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Koeh-146-no_text.jpg/250px-Koeh-146-no_text.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Ginger
HERB-0002,Asian ginseng,Panax ginseng,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Ginsengpflanze.jpg/250px-Ginsengpflanze.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Panax_ginseng
HERB-0003,Astragalus,Astragalus mongholicus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Astragalus_membranaceus.jpg/250px-Astragalus_membranaceus.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Astragalus_mongholicus
HERB-0004,Chinese licorice,Glycyrrhiza uralensis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Glycyrrhizauralensis.jpg/250px-Glycyrrhizauralensis.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Glycyrrhiza_uralensis
HERB-0005,Dong quai,Angelica sinensis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Danggui_Angelica_sinensis.jpg/250px-Danggui_Angelica_sinensis.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Angelica_sinensis
HERB-0006,Goji berry,Lycium barbarum,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Lycium_barbarum_-_Wolfberries_China_7-05.jpg/250px-Lycium_barbarum_-_Wolfberries_China_7-05.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Lycium_barbarum
HERB-0007,Turmeric,Curcuma longa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Turmeric_inflorescence.jpg/250px-Turmeric_inflorescence.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Turmeric
HERB-0008,Garlic,Allium sativum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Allium_sativum_Woodwill_1793.jpg/250px-Allium_sativum_Woodwill_1793.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Garlic
HERB-0009,Green tea,Camellia sinensis,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Csinensis.jpg/250px-Csinensis.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Camellia_sinensis
HERB-0010,Peppermint,Mentha × piperita,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Pfefferminze_natur_peppermint.jpg/250px-Pfefferminze_natur_peppermint.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Peppermint
HERB-0011,Chamomile,Matricaria chamomilla,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Matricaria_February_2008-1.jpg/250px-Matricaria_February_2008-1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Matricaria_chamomilla
HERB-0012,Valerian,Valeriana officinalis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Valeriana_officinalis_inflorescence_-_Niitv%C3%A4lja.jpg/250px-Valeriana_officinalis_inflorescence_-_Niitv%C3%A4lja.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Valerian_(herb)
HERB-0013,Passionflower,Passiflora incarnata,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Passiflora_incarnata_fruit.jpg/250px-Passiflora_incarnata_fruit.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Passiflora_incarnata
HERB-0014,Lavender,Lavandula angustifolia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Lavandula_angustifolia_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-087.jpg/250px-Lavandula_angustifolia_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-087.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Lavandula_angustifolia
HERB-0015,Lemon balm,Melissa officinalis,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Lemon_balm_plant.jpg/250px-Lemon_balm_plant.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Lemon_balm
HERB-0016,Sour jujube seed,Ziziphus jujuba var. spinosa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Ziziphus_jujuba.jpg/250px-Ziziphus_jujuba.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Jujube
HERB-0017,Jujube fruit,Ziziphus jujuba,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Ziziphus_jujuba.jpg/250px-Ziziphus_jujuba.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Jujube
HERB-0018,Schisandra,Schisandra chinensis,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Schisandra_sinensis.jpg/250px-Schisandra_sinensis.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Schisandra_chinensis
HERB-0019,Rehmannia root,Rehmannia glutinosa,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Rehmannia.JPG/250px-Rehmannia.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Rehmannia_glutinosa
HERB-0020,White peony root,Paeonia lactiflora,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Lactiflora1b.UME.jpg/250px-Lactiflora1b.UME.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://en.wikipedia.org/wiki/Paeonia_lactiflora
